SA2_2018_Code,SA2_2018_Name,JSS_PC,SPS_PC,MTB_PC,No_Quals_PC,No_Own_PC,Damp_Mould_PC,No_Int_PC,Inc_Leq_50k_PC,Crowded_PC
189300,Richmond Heights,0.03,0.03,0.01,0.23,0.49,0.14,0.22,0.4,0.01
189400,Wharewaka,0.02,0.01,0.01,0.24,0.39,0.02,0.29,0.3,0.05
189600,Waitahanui,0.06,0.04,0.02,0.32,0.46,0.18,0.4,0.44,0
189700,Turangi,0.07,0.05,0.03,0.33,0.47,0.21,0.43,0,0.12
189800,Rangataiki,0,0,0,0.39,0.92,0.22,0.44,0.35,0.03
189900,Taharua,0,0,0.08,0.29,0.86,0.25,0.5,0.52,0.02
190100,Waiau,0.09,0.03,0.03,0.3,0.45,0.25,0.25,0.21,0.14
190200,Waihi Beach-Bowentown,0.05,0.03,0.04,0.27,0.37,0.14,0.27,0.25,0.01
190300,Tahawai,0.03,0.02,0.02,0.26,0.32,0.13,0.23,0,0
190400,Athenree,0.04,0.02,0.02,0.29,0.32,0.16,0.23,0,0.08
190500,Aongatete,0.03,0.02,0.02,0.24,0.31,0.13,0.19,0,0.11
190600,Katikati,0.04,0.03,0.02,0.31,0.37,0.11,0.29,0.2,0
190800,Matakana Island,0.08,0.08,0.04,0.42,0.52,0.46,0.54,0.43,0.13
190900,Pahoia,0.03,0.02,0.01,0.21,0.3,0.15,0.16,0.33,0
191000,Omokoroa,0.01,0.02,0.01,0.23,0.31,0.08,0.17,0.35,0
191100,Omokoroa Rural,0.02,0.01,0.01,0.22,0.32,0.17,0.13,0.35,0.01
191200,Te Puna,0.03,0.02,0.02,0.21,0.37,0.17,0.2,0.58,0.03
191300,Minden,0.03,0.02,0,0.19,0.32,0.14,0.15,0,0.1
191400,Kaimai,0.02,0.02,0.01,0.24,0.31,0.2,0.22,0.44,0.07
191500,Kopurererua,0.04,0.01,0.01,0.24,0.32,0.16,0.16,0.26,0.08
191600,Kaitemako (Western Bay of Plenty District),0.03,0.02,0.02,0.25,0.33,0.16,0.21,0.38,0
191700,Waiorohi,0.04,0.03,0.01,0.24,0.32,0.2,0.19,0.27,0.12
191800,Otawa,0.02,0.01,0.01,0.26,0.4,0.19,0.22,0.25,0.09
191900,Te Puke West,0.06,0.06,0.03,0.36,0.48,0.22,0.36,0.23,0.03
192000,Rangiuru,0.04,0.04,0.01,0.3,0.45,0.23,0.29,0.22,0.09
192100,Te Puke East,0.04,0.04,0.02,0.33,0.45,0.19,0.34,0.23,0.11
192300,Maketu,0.08,0.08,0.03,0.37,0.47,0.28,0.41,0.25,0
192400,Pukehina Beach,0.09,0.06,0.03,0.36,0.44,0.22,0.36,0.22,0.16
192500,Pongakawa,0.03,0.03,0.03,0.31,0.44,0.23,0.3,0.37,0.01
192600,Matua North,0.02,0.01,0.01,0.2,0.29,0.14,0.16,0.26,0
192800,Mount Maunganui North,0.03,0.02,0.02,0.2,0.6,0.13,0.26,0,0
192900,Matua South,0.03,0.02,0.02,0.23,0.36,0.15,0.22,0.43,0
193000,Bethlehem North,0.03,0.02,0.01,0.21,0.36,0.05,0.16,0.36,0
193100,Bellevue,0.04,0.06,0.03,0.25,0.46,0.21,0.2,0.28,0.13
193200,Otumoetai North,0.03,0.02,0.02,0.24,0.37,0.15,0.27,0.26,0
193300,Otumoetai South,0.03,0.02,0.02,0.19,0.36,0.17,0.17,0,0.01
193400,Brookfield West,0.04,0.08,0.02,0.27,0.55,0.2,0.23,0.31,0.05
193500,Bethlehem Central,0.01,0.01,0,0.18,0.27,0.08,0.11,0.37,0.02
193600,Brookfield East,0.04,0.05,0.02,0.24,0.45,0.24,0.25,0.37,0.05
193700,Mount Maunganui South,0.02,0.02,0.01,0.18,0.52,0.16,0.18,0.3,0
193800,Tauranga Central,0.03,0.01,0.02,0.22,0.51,0.14,0.29,0.4,0
193900,Mount Maunganui Central,0.05,0.03,0.03,0.28,0.7,0.07,0.32,0.31,0
194000,Judea,0.05,0.04,0.03,0.25,0.53,0.21,0.3,0.38,0.07
